code,code2,occupation
5410,5410,OFF-Reservation And Transportation Ticket Agents And Travel Clerks
5420,5420,"OFF-Information And Record Clerks, All Other"
5500,5500,OFF-Cargo And Freight Agents
5510,5510,OFF-Couriers And Messengers
5520,5520,OFF-Dispatchers
5530,5530,"OFF-Meter Readers, Utilities"
5540,5540,OFF-Postal Service Clerks
5550,5550,OFF-Postal Service Mail Carriers
5560,5560,"OFF-Postal Service Mail Sorters, Processors, And Processing Machine Operators"
5600,5600,"OFF-Production, Planning, And Expediting Clerks"
5610,5610,"OFF-Shipping, Receiving, And Traffic Clerks"
5620,5620,OFF-Stock Clerks And Order Fillers
5630,5630,"OFF-Weighers, Measurers, Checkers, And Samplers, Recordkeeping"
5700,5700,OFF-Secretaries And Administrative Assistants
5800,5800,OFF-Computer Operators
5810,5810,OFF-Data Entry Keyers
5820,5820,OFF-Word Processors And Typists
5840,5840,OFF-Insurance Claims And Policy Processing Clerks
5850,5850,"OFF-Mail Clerks And Mail Machine Operators, Except Postal Service"
5860,5860,"OFF-Office Clerks, General"
5900,5900,"OFF-Office Machine Operators, Except Computer"
5910,5910,OFF-Proofreaders And Copy Markers
5920,5920,OFF-Statistical Assistants
5940,5940,"OFF-Miscellaneous Office And Administrative Support Workers, Including Desktop Publishers"
6005,6005,"FFF-First-Line Supervisors Of Farming, Fishing, And Forestry Workers"
6010,6010,FFF-Agricultural Inspectors
6040,6040,"FFF-Graders And Sorters, Agricultural Products"
6050,6050,"FFF-Miscellaneous Agricultural Workers, Including Animal Breeders"
6100,6100,FFF-Fishing And Hunting Workers
6120,6120,FFF-Forest And Conservation Workers
6130,6130,FFF-Logging Workers
6200,6200,CON-First-Line Supervisors Of Construction Trades And Extraction Workers
6210,6210,CON-Boilermakers
6220,6220,"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers"
6230,6230,CON-Carpenters
6240,6240,"CON-Carpet, Floor, And Tile Installers And Finishers"
6250,6250,"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers"
6260,6260,CON-Construction Laborers
6300,6300,"CON-Paving, Surfacing, And Tamping Equipment Operators"
6320,6320,"CON-Construction Equipment Operators, Except Paving, Surfacing, And Tamping Equipment Operators"
6330,6330,"CON-Drywall Installers, Ceiling Tile Installers, And Tapers"
6355,6355,CON-Electricians
6360,6360,CON-Glaziers
6400,6400,CON-Insulation Workers
6420,6420,CON-Painters And Paperhangers
6440,6440,"CON-Pipelayers, Plumbers, Pipefitters, And Steamfitters"
6460,6460,CON-Plasterers And Stucco Masons
6515,6515,CON-Roofers
6520,6520,CON-Sheet Metal Workers
6530,6530,CON-Structural Iron And Steel Workers
6600,6600,"CON-Helpers, Construction Trades"
6660,6660,CON-Construction And Building Inspectors
6700,6700,CON-Elevator Installers And Repairers
6710,6710,CON-Fence Erectors
6720,6720,CON-Hazardous Materials Removal Workers
6730,6730,CON-Highway Maintenance Workers
6740,6740,CON-Rail-Track Laying And Maintenance Equipment Operators
6765,6765,"CON-Miscellaneous Construction Workers, Including Solar Photovoltaic Installers, Septic Tank Servicers And Sewer Pipe Cleaners"
6800,6800,"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining"
6820,6820,"EXT-Earth Drillers, Except Oil And Gas"
6830,6830,"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters"
6840,6840,EXT-Mining Machine Operators
6940,6940,"EXT-Miscellaneous Extraction Workers, Including Roof Bolters And Helpers"
7000,7000,"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers"
7010,7010,"RPR-Computer, Automated Teller, And Office Machine Repairers"
7020,7020,RPR-Radio And Telecommunications Equipment Installers And Repairers
7030,7030,RPR-Avionics Technicians
7040,7040,"RPR-Electric Motor, Power Tool, And Related Repairers"
7100,7100,"RPR-Electrical And Electronics Repairers, Transportation Equipment, And Industrial And Utility"
7110,7110,"RPR-Electronic Equipment Installers And Repairers, Motor Vehicles"
7120,7120,RPR-Electronic Home Entertainment Equipment Installers And Repairers
7130,7130,RPR-Security And Fire Alarm Systems Installers
7140,7140,RPR-Aircraft Mechanics And Service Technicians
7150,7150,RPR-Automotive Body And Related Repairers
7160,7160,RPR-Automotive Glass Installers And Repairers
7200,7200,RPR-Automotive Service Technicians And Mechanics
7210,7210,RPR-Bus And Truck Mechanics And Diesel Engine Specialists
7220,7220,RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics
7240,7240,RPR-Small Engine Mechanics
7260,7260,"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers"
7300,7300,RPR-Control And Valve Installers And Repairers
7315,7315,"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers"
7320,7320,RPR-Home Appliance Repairers
7330,7330,RPR-Industrial And Refractory Machinery Mechanics
7340,7340,"RPR-Maintenance And Repair Workers, General"
7350,7350,"RPR-Maintenance Workers, Machinery"
7360,7360,RPR-Millwrights
7410,7410,RPR-Electrical Power-Line Installers And Repairers
7420,7420,RPR-Telecommunications Line Installers And Repairers
7430,7430,RPR-Precision Instrument And Equipment Repairers
7510,7510,"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers"
7540,7540,RPR-Locksmiths And Safe Repairers
7560,7560,RPR-Riggers
7610,7610,"RPR-Helpers--Installation, Maintenance, And Repair Workers"
7630,7630,"RPR-Miscellaneous Installation, Maintenance, And Repair Workers, Including Wind Turbine Service Technicians"
7700,7700,PRD-First-Line Supervisors Of Production And Operating Workers
7710,7710,"PRD-Aircraft Structure, Surfaces, Rigging, And Systems Assemblers"
7720,7720,"PRD-Electrical, Electronics, And Electromechanical Assemblers"
7730,7730,PRD-Engine And Other Machine Assemblers
7740,7740,PRD-Structural Metal Fabricators And Fitters
7750,7750,PRD-Miscellaneous Assemblers And Fabricators
7800,7800,PRD-Bakers
7810,7810,"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers"
7830,7830,"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders"
7840,7840,PRD-Food Batchmakers
7850,7850,PRD-Food Cooking Machine Operators And Tenders
7855,7855,"PRD-Food Processing Workers, All Other"
7900,7900,PRD-Computer Control Programmers And Operators
7920,7920,"PRD-Extruding And Drawing Machine Setters, Operators, And Tenders, Metal And Plastic"
7930,7930,"PRD-Forging Machine Setters, Operators, And Tenders, Metal And Plastic"
7940,7940,"PRD-Rolling Machine Setters, Operators, And Tenders, Metal And Plastic"
7950,7950,"PRD-Machine Tool Cutting Setters, Operators, And Tenders, Metal And Plastic"
8030,8030,PRD-Machinists
8040,8040,"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters"
8100,8100,"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic"
8130,8130,PRD-Tool And Die Makers
8140,8140,"PRD-Welding, Soldering, And Brazing Workers"
8220,8220,"PRD-Miscellaneous Metal Workers And Plastic Workers, Including Multiple Machine Tool Setters"
8250,8250,PRD-Prepress Technicians And Workers
8255,8255,PRD-Printing Press Operators
8256,8256,PRD-Print Binding And Finishing Workers
8300,8300,PRD-Laundry And Dry-Cleaning Workers
8310,8310,"PRD-Pressers, Textile, Garment, And Related Materials"
8320,8320,PRD-Sewing Machine Operators
8330,8330,PRD-Shoe And Leather Workers
8350,8350,"PRD-Tailors, Dressmakers, And Sewers"
8400,8400,"PRD-Textile Bleaching And Dyeing, And Cutting Machine Setters, Operators, And Tenders"
8410,8410,"PRD-Textile Knitting And Weaving Machine Setters, Operators, And Tenders"
8420,8420,"PRD-Textile Winding, Twisting, And Drawing Out Machine Setters, Operators, And Tenders"
8450,8450,PRD-Upholsterers
8460,8460,"PRD-Miscellaneous Textile, Apparel, And Furnishings Workers, Except Upholsterers"
8500,8500,PRD-Cabinetmakers And Bench Carpenters
8510,8510,PRD-Furniture Finishers
8530,8530,"PRD-Sawing Machine Setters, Operators, And Tenders, Wood"
8540,8540,"PRD-Woodworking Machine Setters, Operators, And Tenders, Except Sawing"
8550,8550,"PRD-Miscellaneous Woodworkers, Including Model Makers And Patternmakers"
8600,8600,"PRD-Power Plant Operators, Distributors, And Dispatchers"
8610,8610,PRD-Stationary Engineers And Boiler Operators
